state,2017_participation,2017_english,2017_math,2017_reading,2017_science,2017_composite,2018_participation,2018_composite,2019_participation,2019_composite
alabama,1.0,18.9,18.4,19.7,19.4,19.2,1.0,19.1,1.0,18.9
alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,20.8,0.38,20.1
arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,19.2,0.73,19.0
arkansas,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.4,1.0,19.3
california,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.7,0.23,22.6
colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,0.27,23.8
connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,25.6,0.22,25.5
delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.8,0.13,24.1
district of columbia,0.32,24.4,23.5,24.9,23.5,24.2,0.32,23.6,0.32,23.5
florida,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.9,0.54,20.1
georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.53,21.4,0.49,21.4
hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.89,18.9,0.8,19.0
idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.36,22.3,0.31,22.5
illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.43,23.9,0.35000000000000003,24.3
indiana,0.35000000000000003,22.0,22.4,23.2,22.3,22.6,0.32,22.5,0.29,22.5
iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.8,0.66,21.6
kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.71,21.6,0.72,21.2
kentucky,1.0,19.6,19.4,20.5,20.1,20.0,1.0,20.2,1.0,19.8
louisiana,1.0,19.4,18.8,19.8,19.6,19.5,1.0,19.2,1.0,18.8
maine,0.08,24.2,24.0,24.8,23.7,24.3,0.07,24.0,0.06,24.3
maryland,0.28,23.3,23.1,24.2,2.3,23.6,0.31,22.5,0.28,22.3
massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,0.25,25.5,0.21,25.5
michigan,0.29,24.1,23.7,24.5,23.8,24.1,0.22,24.2,0.19,24.4
minnesota,1.0,20.4,21.5,21.8,21.6,21.5,0.99,21.3,0.9500000000000001,21.4
mississippi,1.0,18.2,18.1,18.8,18.8,18.6,1.0,18.6,1.0,18.4
missouri,1.0,19.8,19.9,20.8,20.5,20.4,1.0,20.0,0.8200000000000001,20.8
montana,1.0,19.0,20.2,21.0,20.5,20.3,1.0,20.0,1.0,19.8
nebraska,0.84,20.9,20.9,21.9,21.5,21.4,1.0,20.1,1.0,20.0
nevada,1.0,16.3,18.0,18.1,18.2,17.8,1.0,17.7,1.0,17.9
new hampshire,0.18,25.4,25.1,26.0,24.9,25.5,0.16,25.1,0.14,25.0
new jersey,0.34,23.8,23.8,24.1,23.2,23.9,0.31,23.7,0.25,24.2
new mexico,0.66,18.6,19.4,20.4,20.0,19.7,0.67,19.4,0.63,19.3
new york,0.31,23.8,24.0,24.6,23.9,24.2,0.27,24.5,0.22,24.5
north carolina,1.0,17.8,19.3,19.6,19.3,19.1,1.0,19.1,1.0,19.0
north dakota,0.98,19.0,20.4,20.5,20.6,20.3,0.98,20.3,0.96,19.9
ohio,0.75,21.2,21.6,22.5,22.0,22.0,1.0,20.3,1.0,20.0
oklahoma,1.0,18.5,18.8,20.1,19.6,19.4,1.0,19.3,1.0,18.9
oregon,0.4,21.2,21.5,22.4,21.7,21.8,0.42,21.3,0.42,21.1
pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7,0.2,23.5,0.17,23.6
rhode island,0.21,24.0,23.3,24.7,23.4,24.0,0.15,24.2,0.12,24.7
south carolina,1.0,17.5,18.6,19.1,18.9,18.7,1.0,18.3,0.78,18.8
south dakota,0.8,20.7,21.5,22.3,22.0,21.8,0.77,21.9,0.75,21.6
tennessee,1.0,19.5,19.2,20.1,19.9,19.8,1.0,19.6,1.0,19.4
texas,0.45,19.5,20.7,21.1,20.9,20.7,0.45,20.7,0.39,20.5
utah,1.0,19.5,19.9,20.8,20.6,20.3,1.0,20.4,1.0,20.3
vermont,0.29,23.3,23.1,24.4,23.2,23.6,0.24,24.1,0.2,24.1
virginia,0.29,23.5,23.3,24.6,23.5,23.8,0.24,23.9,0.21,24.0
washington,0.29,20.9,21.9,22.1,22.0,21.9,0.24,22.2,0.24,22.1
west virginia,0.6900000000000001,20.0,19.4,21.2,20.5,20.4,0.65,20.3,0.49,20.8
wisconsin,1.0,19.7,20.4,20.6,20.9,20.5,1.0,20.5,1.0,20.3
wyoming,1.0,19.4,19.8,20.8,20.6,20.2,1.0,20.0,1.0,19.8
